# TEMPERATURE = 2.500000e+01
# FREQ WR(AV) WI(AV)
7.07945784384e+01 -3.30936929182e-01 3.72572976016e-02
7.24435960075e+01 -3.30882964696e-01 3.81234331020e-02
7.41310241301e+01 -3.30826462093e-01 3.90096221842e-02
7.58577575029e+01 -3.30767302254e-01 3.99163233007e-02
7.76247116629e+01 -3.30705360489e-01 4.08440049661e-02
7.94328234724e+01 -3.30640506288e-01 4.17931459478e-02
8.12830516164e+01 -3.30572603044e-01 4.27642354577e-02
8.31763771103e+01 -3.30501507779e-01 4.37577733456e-02
8.51138038202e+01 -3.30427070841e-01 4.47742702931e-02
8.70963589956e+01 -3.30349135605e-01 4.58142480082e-02
8.91250938134e+01 -3.30267538143e-01 4.68782394207e-02
9.12010839356e+01 -3.30182106896e-01 4.79667888778e-02
9.33254300797e+01 -3.30092662318e-01 4.90804523390e-02
9.54992586021e+01 -3.29999016508e-01 5.02197975717e-02
9.77237220956e+01 -3.29900972832e-01 5.13854043446e-02
1.00000000000e+02 -3.29798325518e-01 5.25778646213e-02
1.02329299228e+02 -3.29690859241e-01 5.37977827515e-02
1.04712854805e+02 -3.29578348684e-01 5.50457756603e-02
1.07151930524e+02 -3.29460558084e-01 5.63224730353e-02
1.09647819614e+02 -3.29337240756e-01 5.76285175103e-02
1.12201845430e+02 -3.29208138596e-01 5.89645648452e-02
1.14815362150e+02 -3.29072981563e-01 6.03312841021e-02
1.17489755494e+02 -3.28931487136e-01 6.17293578162e-02
1.20226443462e+02 -3.28783359753e-01 6.31594821607e-02
1.23026877081e+02 -3.28628290221e-01 6.46223671059e-02
1.25892541179e+02 -3.28465955099e-01 6.61187365699e-02
1.28824955169e+02 -3.28296016065e-01 6.76493285623e-02
1.31825673856e+02 -3.28118119242e-01 6.92148953175e-02
1.34896288259e+02 -3.27931894503e-01 7.08162034183e-02
1.38038426460e+02 -3.27736954752e-01 7.24540339078e-02
1.41253754462e+02 -3.27532895161e-01 7.41291823886e-02
1.44543977075e+02 -3.27319292390e-01 7.58424591078e-02
1.47910838817e+02 -3.27095703765e-01 7.75946890270e-02
1.51356124844e+02 -3.26861666427e-01 7.93867118744e-02
1.54881661891e+02 -3.26616696442e-01 8.12193821796e-02
1.58489319246e+02 -3.26360287884e-01 8.30935692865e-02
1.62181009736e+02 -3.26091911870e-01 8.50101573450e-02
1.65958690744e+02 -3.25811015566e-01 8.69700452784e-02
1.69824365246e+02 -3.25517021148e-01 8.89741467238e-02
1.73780082875e+02 -3.25209324728e-01 9.10233899440e-02
1.77827941004e+02 -3.24887295233e-01 9.31187177091e-02
1.81970085861e+02 -3.24550273248e-01 9.52610871431e-02
1.86208713666e+02 -3.24197569807e-01 9.74514695352e-02
1.90546071796e+02 -3.23828465153e-01 9.96908501110e-02
1.94984459976e+02 -3.23442207436e-01 1.01980227761e-01
1.99526231497e+02 -3.23038011379e-01 1.04320614724e-01
2.04173794467e+02 -3.22615056888e-01 1.06713036221e-01
2.08929613085e+02 -3.22172487619e-01 1.09158530034e-01
2.13796208950e+02 -3.21709409496e-01 1.11658146031e-01
2.18776162395e+02 -3.21224889174e-01 1.14212945627e-01
2.23872113857e+02 -3.20717952462e-01 1.16824001180e-01
2.29086765277e+02 -3.20187582689e-01 1.19492395317e-01
2.34422881532e+02 -3.19632719023e-01 1.22219220182e-01
2.39883291902e+02 -3.19052254739e-01 1.25005576607e-01
2.45470891569e+02 -3.18445035440e-01 1.27852573195e-01
2.51188643151e+02 -3.17809857222e-01 1.30761325309e-01
2.57039578277e+02 -3.17145464801e-01 1.33732953963e-01
2.63026799190e+02 -3.16450549584e-01 1.36768584613e-01
2.69153480393e+02 -3.15723747695e-01 1.39869345828e-01
2.75422870334e+02 -3.14963637962e-01 1.43036367851e-01
2.81838293126e+02 -3.14168739859e-01 1.46270781028e-01
2.88403150313e+02 -3.13337511402e-01 1.49573714102e-01
2.95120922667e+02 -3.12468347025e-01 1.52946292374e-01
3.01995172040e+02 -3.11559575399e-01 1.56389635704e-01
3.09029543251e+02 -3.10609457245e-01 1.59904856354e-01
3.16227766017e+02 -3.09616183110e-01 1.63493056672e-01
3.23593656930e+02 -3.08577871128e-01 1.67155326587e-01
3.31131121483e+02 -3.07492564769e-01 1.70892740924e-01
3.38844156139e+02 -3.06358230576e-01 1.74706356522e-01
3.46736850453e+02 -3.05172755920e-01 1.78597209139e-01
3.54813389234e+02 -3.03933946747e-01 1.82566310151e-01
3.63078054770e+02 -3.02639525360e-01 1.86614643014e-01
3.71535229097e+02 -3.01287128228e-01 1.90743159489e-01
3.80189396321e+02 -2.99874303839e-01 1.94952775625e-01
3.89045144994e+02 -2.98398510610e-01 1.99244367474e-01
3.98107170553e+02 -2.96857114871e-01 2.03618766544e-01
4.07380277804e+02 -2.95247388939e-01 2.08076754968e-01
4.16869383470e+02 -2.93566509291e-01 2.12619060384e-01
4.26579518802e+02 -2.91811554870e-01 2.17246350514e-01
4.36515832240e+02 -2.89979505532e-01 2.21959227436e-01
4.46683592151e+02 -2.88067240664e-01 2.26758221539e-01
4.57088189615e+02 -2.86071537992e-01 2.31643785152e-01
4.67735141287e+02 -2.83989072615e-01 2.36616285841e-01
4.78630092323e+02 -2.81816416276e-01 2.41675999366e-01
4.89778819368e+02 -2.79550036919e-01 2.46823102306e-01
5.01187233627e+02 -2.77186298558e-01 2.52057664324e-01
5.12861383991e+02 -2.74721461475e-01 2.57379640103e-01
5.24807460250e+02 -2.72151682820e-01 2.62788860924e-01
5.37031796370e+02 -2.69473017613e-01 2.68285025915e-01
5.49540873858e+02 -2.66681420216e-01 2.73867692956e-01
5.62341325190e+02 -2.63772746300e-01 2.79536269267e-01
5.75439937337e+02 -2.60742755362e-01 2.85290001679e-01
5.88843655356e+02 -2.57587113832e-01 2.91127966609e-01
6.02559586074e+02 -2.54301398827e-01 2.97049059761e-01
6.16595001861e+02 -2.50881102581e-01 3.03051985575e-01
6.30957344480e+02 -2.47321637625e-01 3.09135246456e-01
6.45654229035e+02 -2.43618342750e-01 3.15297131815e-01
6.60693448008e+02 -2.39766489816e-01 3.21535706965e-01
6.76082975392e+02 -2.35761291449e-01 3.27848801915e-01
6.91830970919e+02 -2.31597909680e-01 3.34234000127e-01
7.07945784384e+02 -2.27271465582e-01 3.40688627271e-01
7.24435960075e+02 -2.22777049937e-01 3.47209740077e-01
7.41310241301e+02 -2.18109734999e-01 3.53794115330e-01
7.58577575029e+02 -2.13264587374e-01 3.60438239107e-01
7.76247116629e+02 -2.08236682076e-01 3.67138296341e-01
7.94328234724e+02 -2.03021117763e-01 3.73890160805e-01
8.12830516164e+02 -1.97613033217e-01 3.80689385631e-01
8.31763771103e+02 -1.92007625053e-01 3.87531194468e-01
8.51138038202e+02 -1.86200166683e-01 3.94410473410e-01
8.70963589956e+02 -1.80186028541e-01 4.01321763809e-01
8.91250938134e+02 -1.73960699544e-01 4.08259256122e-01
9.12010839356e+02 -1.67519809779e-01 4.15216784928e-01
9.33254300797e+02 -1.60859154376e-01 4.22187825251e-01
9.54992586021e+02 -1.53974718515e-01 4.29165490360e-01
9.77237220956e+02 -1.46862703502e-01 4.36142531182e-01
1.00000000000e+03 -1.39519553829e-01 4.43111337489e-01
1.02329299228e+03 -1.31941985115e-01 4.50063941011e-01
1.04712854805e+03 -1.24127012809e-01 4.56992020632e-01
1.07151930524e+03 -1.16071981511e-01 4.63886909814e-01
1.09647819614e+03 -1.07774594748e-01 4.70739606379e-01
1.12201845430e+03 -9.92329450248e-02 4.77540784798e-01
1.14815362150e+03 -9.04455439436e-02 4.84280811093e-01
1.17489755494e+03 -8.14113521706e-02 4.90949760459e-01
1.20226443462e+03 -7.21298090027e-02 4.97537437689e-01
1.23026877081e+03 -6.26008612747e-02 5.04033400472e-01
1.25892541179e+03 -5.28249913282e-02 5.10426985597e-01
1.28824955169e+03 -4.28032437444e-02 5.16707338077e-01
1.31825673856e+03 -3.25372505409e-02 5.22863443182e-01
1.34896288259e+03 -2.20292545129e-02 5.28884161314e-01
1.38038426460e+03 -1.12821304017e-02 5.34758265665e-01
1.41253754462e+03 -2.99403563763e-04 5.40474482504e-01
1.44543977075e+03 1.09147341714e-02 5.46021533958e-01
1.47910838817e+03 2.23554117742e-02 5.51388183067e-01
1.51356124844e+03 3.40170697080e-02 5.56563280889e-01
1.54881661891e+03 4.58934543317e-02 5.61535815355e-01
1.58489319246e+03 5.79776162585e-02 5.66294961576e-01
1.62181009736e+03 7.02619129075e-02 5.70830133229e-01
1.65958690744e+03 8.27380154300e-02 5.75131034641e-01
1.69824365246e+03 9.53969201737e-02 5.79187713150e-01
1.73780082875e+03 1.08228964783e-01 5.82990611297e-01
1.77827941004e+03 1.21223849000e-01 5.86530618386e-01
1.81970085861e+03 1.34370660177e-01 5.89799120919e-01
1.86208713666e+03 1.47657903432e-01 5.92788051437e-01
1.90546071796e+03 1.61073536375e-01 5.95489935254e-01
1.94984459976e+03 1.74605008200e-01 5.97897934619e-01
1.99526231497e+03 1.88239302961e-01 6.00005889824e-01
2.04173794467e+03 2.01962986717e-01 6.01808356810e-01
2.08929613085e+03 2.15762258244e-01 6.03300640864e-01
2.13796208950e+03 2.29623002900e-01 6.04478826003e-01
2.18776162395e+03 2.43530849235e-01 6.05339799731e-01
2.23872113857e+03 2.57471227869e-01 6.05881272857e-01
2.29086765277e+03 2.71429432125e-01 6.06101794158e-01
2.34422881532e+03 2.85390679888e-01 6.06000759700e-01
2.39883291902e+03 2.99340176150e-01 6.05578416714e-01
2.45470891568e+03 3.13263175663e-01 6.04835861978e-01
2.51188643151e+03 3.27145045148e-01 6.03775034717e-01
2.57039578277e+03 3.40971324501e-01 6.02398704119e-01
2.63026799190e+03 3.54727786454e-01 6.00710451607e-01
2.69153480393e+03 3.68400494175e-01 5.98714648083e-01
2.75422870334e+03 3.81975856320e-01 5.96416426397e-01
2.81838293126e+03 3.95440679088e-01 5.93821649382e-01
2.88403150313e+03 4.08782214879e-01 5.90936873803e-01
2.95120922667e+03 4.21988207198e-01 5.87769310633e-01
3.01995172040e+03 4.35046931497e-01 5.84326782083e-01
3.09029543251e+03 4.47947231720e-01 5.80617675873e-01
3.16227766017e+03 4.60678552356e-01 5.76650897184e-01
3.23593656930e+03 4.73230965872e-01 5.72435818827e-01
3.31131121483e+03 4.85595195447e-01 5.67982230073e-01
3.38844156139e+03 4.97762633011e-01 5.63300284665e-01
3.46736850453e+03 5.09725352599e-01 5.58400448468e-01
3.54813389234e+03 5.21476119129e-01 5.53293447211e-01
3.63078054770e+03 5.33008392737e-01 5.47990214766e-01
3.71535229097e+03 5.44316328825e-01 5.42501842342e-01
3.80189396321e+03 5.55394774070e-01 5.36839528995e-01
3.89045144994e+03 5.66239258607e-01 5.31014533757e-01
3.98107170553e+03 5.76845984671e-01 5.25038129707e-01
4.07380277804e+03 5.87211811996e-01 5.18921560222e-01
4.16869383470e+03 5.97334240255e-01 5.12675997636e-01
4.26579518802e+03 6.07211388889e-01 5.06312504484e-01
4.36515832240e+03 6.16841974617e-01 4.99841997463e-01
4.46683592151e+03 6.26225286963e-01 4.93275214216e-01
4.57088189615e+03 6.35361162118e-01 4.86622683008e-01
4.67735141287e+03 6.44249955443e-01 4.79894695312e-01
4.78630092323e+03 6.52892512914e-01 4.73101281317e-01
4.89778819368e+03 6.61290141793e-01 4.66252188323e-01
5.01187233627e+03 6.69444580794e-01 4.59356861969e-01
5.12861383991e+03 6.77357970002e-01 4.52424430221e-01
5.24807460250e+03 6.85032820763e-01 4.45463690017e-01
5.37031796370e+03 6.92471985773e-01 4.38483096463e-01
5.49540873858e+03 6.99678629553e-01 4.31490754451e-01
5.62341325190e+03 7.06656199465e-01 4.24494412562e-01
5.75439937337e+03 7.13408397452e-01 4.17501459105e-01
5.88843655356e+03 7.19939152592e-01 4.10518920155e-01
6.02559586074e+03 7.26252594614e-01 4.03553459420e-01
6.16595001861e+03 7.32353028438e-01 3.96611379796e-01
6.30957344480e+03 7.38244909826e-01 3.89698626445e-01
6.45654229035e+03 7.43932822211e-01 3.82820791256e-01
6.60693448008e+03 7.49421454717e-01 3.75983118529e-01
6.76082975392e+03 7.54715581431e-01 3.69190511744e-01
6.91830970919e+03 7.59820041917e-01 3.62447541284e-01
7.07945784384e+03 7.64739722991e-01 3.55758452967e-01
7.24435960075e+03 7.69479541740e-01 3.49127177271e-01
7.41310241301e+03 7.74044429771e-01 3.42557339144e-01
7.58577575029e+03 7.78439318682e-01 3.36052268262e-01
7.76247116629e+03 7.82669126694e-01 3.29615009673e-01
7.94328234724e+03 7.86738746436e-01 3.23248334702e-01
8.12830516164e+03 7.90653033834e-01 3.16954752042e-01
8.31763771103e+03 7.94416798056e-01 3.10736518964e-01
8.51138038202e+03 7.98034792465e-01 3.04595652559e-01
8.70963589956e+03 8.01511706541e-01 2.98533940961e-01
8.91250938134e+03 8.04852158716e-01 2.92552954491e-01
9.12010839356e+03 8.08060690064e-01 2.86654056674e-01
9.33254300797e+03 8.11141758811e-01 2.80838415083e-01
9.54992586021e+03 8.14099735596e-01 2.75107011980e-01
9.77237220956e+03 8.16938899447e-01 2.69460654712e-01
1.00000000000e+04 8.19663434416e-01 2.63899985846e-01
1.02329299228e+04 8.22277426821e-01 2.58425493009e-01
1.04712854805e+04 8.24784863059e-01 2.53037518430e-01
1.07151930524e+04 8.27189627937e-01 2.47736268153e-01
1.09647819614e+04 8.29495503476e-01 2.42521820927e-01
1.12201845430e+04 8.31706168158e-01 2.37394136753e-01
1.14815362150e+04 8.33825196561e-01 2.32353065084e-01
1.17489755494e+04 8.35856059357e-01 2.27398352693e-01
1.20226443462e+04 8.37802123638e-01 2.22529651177e-01
1.23026877081e+04 8.39666653522e-01 2.17746524138e-01
1.25892541179e+04 8.41452811030e-01 2.13048454007e-01
1.28824955169e+04 8.43163657183e-01 2.08434848545e-01
1.31825673856e+04 8.44802153316e-01 2.03905047008e-01
1.34896288259e+04 8.46371162552e-01 1.99458325998e-01
1.38038426460e+04 8.47873451453e-01 1.95093904999e-01
1.41253754462e+04 8.49311691781e-01 1.90810951604e-01
1.44543977075e+04 8.50688462394e-01 1.86608586457e-01
1.47910838817e+04 8.52006251221e-01 1.82485887903e-01
1.51356124844e+04 8.53267457327e-01 1.78441896367e-01
1.54881661891e+04 8.54474393034e-01 1.74475618474e-01
1.58489319246e+04 8.55629286093e-01 1.70586030901e-01
1.62181009736e+04 8.56734281900e-01 1.66772084008e-01
1.65958690744e+04 8.57791445721e-01 1.63032705215e-01
1.69824365246e+04 8.58802764955e-01 1.59366802174e-01
1.73780082875e+04 8.59770151379e-01 1.55773265721e-01
1.77827941004e+04 8.60695443409e-01 1.52250972631e-01
1.81970085861e+04 8.61580408343e-01 1.48798788176e-01
1.86208713666e+04 8.62426744585e-01 1.45415568508e-01
1.90546071796e+04 8.63236083857e-01 1.42100162869e-01
1.94984459976e+04 8.64009993373e-01 1.38851415633e-01
1.99526231497e+04 8.64749977988e-01 1.35668168196e-01
2.04173794467e+04 8.65457482313e-01 1.32549260728e-01
2.08929613085e+04 8.66133892782e-01 1.29493533772e-01
2.13796208950e+04 8.66780539691e-01 1.26499829728e-01
2.18776162395e+04 8.67398699183e-01 1.23566994209e-01
2.23872113857e+04 8.67989595192e-01 1.20693877279e-01
2.29086765277e+04 8.68554401341e-01 1.17879334588e-01
2.34422881532e+04 8.69094242790e-01 1.15122228407e-01
2.39883291902e+04 8.69610198033e-01 1.12421428558e-01
2.45470891568e+04 8.70103300650e-01 1.09775813267e-01
2.51188643151e+04 8.70574541006e-01 1.07184269929e-01
2.57039578277e+04 8.71024867904e-01 1.04645695788e-01
2.63026799190e+04 8.71455190179e-01 1.02158998556e-01
2.69153480393e+04 8.71866378252e-01 9.97230969560e-02
2.75422870334e+04 8.72259265632e-01 9.73369212007e-02
2.81838293126e+04 8.72634650363e-01 9.49994134183e-02
2.88403150313e+04 8.72993296432e-01 9.27095280164e-02
2.95120922667e+04 8.73335935122e-01 9.04662319986e-02
3.01995172040e+04 8.73663266324e-01 8.82685052308e-02
3.09029543251e+04 8.73975959797e-01 8.61153406653e-02
3.16227766017e+04 8.74274656389e-01 8.40057445217e-02
