# TEMPERATURE = 2.500000e+01
# X W(GMIDN) W(INN) W(CGSN) W(CGSON) W(CGDON) W(CBDN) W(VEAN) W(VDSATN)
9.20000000000e-01 5.66062720749e+00 1.45481816792e-05 8.34576704563e-03 3.29014824880e-10 3.02836127181e-10 3.30925682285e-10 4.89738804414e+01 2.72132941711e-01
9.30000000000e-01 5.49667529829e+00 1.53827422890e-05 8.36229541817e-03 3.29017098505e-10 3.03429245994e-10 3.30986842349e-10 4.94190670730e+01 2.79481904331e-01
9.40000000000e-01 5.33997674040e+00 1.62391262327e-05 8.37835081987e-03 3.29019286418e-10 3.04032905351e-10 3.31050516805e-10 4.98305139765e+01 2.86834143286e-01
9.50000000000e-01 5.19018147466e+00 1.71169402337e-05 8.39395908134e-03 3.29021392565e-10 3.04646909053e-10 3.31116818831e-10 5.02086261674e+01 2.94187246086e-01
9.60000000000e-01 5.04694843636e+00 1.80157949472e-05 8.40914403155e-03 3.29023420678e-10 3.05270989190e-10 3.31185867400e-10 5.05538619673e+01 3.01539059191e-01
9.70000000000e-01 4.90994733933e+00 1.89353058034e-05 8.42392770127e-03 3.29025374291e-10 3.05904797995e-10 3.31257787616e-10 5.08667245654e+01 3.08887661869e-01
9.80000000000e-01 4.77885994780e+00 1.98750936276e-05 8.43833050077e-03 3.29027256748e-10 3.06547899546e-10 3.31332711062e-10 5.11477546080e+01 3.16231342165e-01
9.90000000000e-01 4.65338092781e+00 2.08347850773e-05 8.45237137551e-03 3.29029071218e-10 3.07199761490e-10 3.31410776166e-10 5.13975237173e+01 3.23568574962e-01
1.00000000000e+00 4.53321835699e+00 2.18140129270e-05 8.46606794316e-03 3.29030820704e-10 3.07859747056e-10 3.31492128604e-10 5.16166288445e+01 3.30898002004e-01
1.01000000000e+00 4.41809396035e+00 2.28124162300e-05 8.47943661447e-03 3.29032508055e-10 3.08527107647e-10 3.31576921716e-10 5.18056873680e+01 3.38218413803e-01
1.02000000000e+00 4.30774312926e+00 2.38296403811e-05 8.49249270039e-03 3.29034135971e-10 3.09200976361e-10 3.31665316952e-10 5.19653328520e+01 3.45528733287e-01
1.03000000000e+00 4.20191477147e+00 2.48653371011e-05 8.50525050720e-03 3.29035707016e-10 3.09880362877e-10 3.31757484356e-10 5.20962113877e+01 3.52828001079e-01
1.04000000000e+00 4.10037103172e+00 2.59191643601e-05 8.51772342136e-03 3.29037223622e-10 3.10564150137e-10 3.31853603066e-10 5.21989784465e+01 3.60115362259e-01
1.05000000000e+00 4.00288691603e+00 2.69907862537e-05 8.52992398532e-03 3.29038688100e-10 3.11251093330e-10 3.31953861860e-10 5.22742961825e+01 3.67390054501e-01
1.06000000000e+00 3.90924984604e+00 2.80798728459e-05 8.54186396552e-03 3.29040102646e-10 3.11939821670e-10 3.32058459732e-10 5.23228311247e+01 3.74651397451e-01
1.07000000000e+00 3.81925916537e+00 2.91860999859e-05 8.55355441346e-03 3.29041469347e-10 3.12628843434e-10 3.32167606502e-10 5.23452522108e+01 3.81898783238e-01
1.08000000000e+00 3.73272561510e+00 3.03091491092e-05 8.56500572080e-03 3.29042790186e-10 3.13316554684e-10 3.32281523479e-10 5.23422291149e+01 3.89131668003e-01
1.09000000000e+00 3.64947079254e+00 3.14487070284e-05 8.57622766913e-03 3.29044067051e-10 3.14001251981e-10 3.32400444152e-10 5.23144308307e+01 3.96349564352e-01
1.10000000000e+00 3.56932660382e+00 3.26044657184e-05 8.58722947495e-03 3.29045301738e-10 3.14681149246e-10 3.32524614939e-10 5.22625244750e+01 4.03552034632e-01
1.11000000000e+00 3.49213471900e+00 3.37761221015e-05 8.59801983057e-03 3.29046495956e-10 3.15354398756e-10 3.32654295981e-10 5.21871742804e+01 4.10738684954e-01
1.12000000000e+00 3.41774603605e+00 3.49633778343e-05 8.60860694120e-03 3.29047651334e-10 3.16019115981e-10 3.32789761991e-10 5.20890407506e+01 4.17909159875e-01
1.13000000000e+00 3.34602015842e+00 3.61659390992e-05 8.61899855882e-03 3.29048769421e-10 3.16673407775e-10 3.32931303158e-10 5.19687799557e+01 4.25063137674e-01
1.14000000000e+00 3.27682488998e+00 3.73835164026e-05 8.62920201296e-03 3.29049851696e-10 3.17315403134e-10 3.33079226117e-10 5.18270429460e+01 4.32200326162e-01
1.15000000000e+00 3.21003574942e+00 3.86158243802e-05 8.63922423887e-03 3.29050899568e-10 3.17943285493e-10 3.33233854978e-10 5.16644752683e+01 4.39320458956e-01
1.16000000000e+00 3.14553550608e+00 3.98625816113e-05 8.64907180333e-03 3.29051914379e-10 3.18555325368e-10 3.33395532433e-10 5.14817165678e+01 4.46423292176e-01
1.17000000000e+00 3.08321373791e+00 4.11235104417e-05 8.65875092817e-03 3.29052897412e-10 3.19149912013e-10 3.33564620931e-10 5.12794002644e+01 4.53508601517e-01
1.18000000000e+00 3.02296641200e+00 4.23983368159e-05 8.66826751191e-03 3.29053849889e-10 3.19725582700e-10 3.33741503942e-10 5.10581532908e+01 4.60576179648e-01
1.19000000000e+00 2.96469548792e+00 4.36867901185e-05 8.67762714961e-03 3.29054772978e-10 3.20281048365e-10 3.33926587300e-10 5.08185958830e+01 4.67625833906e-01
1.20000000000e+00 2.90830854324e+00 4.49886030250e-05 8.68683515105e-03 3.29055667793e-10 3.20815214467e-10 3.34120300646e-10 5.05613414154e+01 4.74657384251e-01
