# TEMPERATURE = 2.500000e+01
# X W(GMIDN) W(INN) W(CGSN) W(CGSON) W(CGDON) W(CBDN) W(VEAN) W(VDSATN)
4.60000000000e-01 1.32151334372e+01 1.78828519798e-06 6.73813344433e-03 3.09835470328e-10 3.08018465866e-10 2.97490597195e-10 7.93512700160e+00 9.81389449424e-02
4.70000000000e-01 1.27285345619e+01 2.03591800094e-06 6.86171928114e-03 3.09835828488e-10 3.08042139744e-10 2.97505499687e-10 8.22486065511e+00 1.03195324312e-01
4.80000000000e-01 1.22740629324e+01 2.30696963197e-06 6.97431665287e-03 3.09836164330e-10 3.08065850622e-10 2.97521141343e-10 8.51938838272e+00 1.08438184344e-01
4.90000000000e-01 1.18474753099e+01 2.60262582355e-06 7.07692246390e-03 3.09836479487e-10 3.08089598306e-10 2.97537537234e-10 8.81796511162e+00 1.13863054070e-01
5.00000000000e-01 1.14449925577e+01 2.92403495829e-06 7.17048029174e-03 3.09836775459e-10 3.08113382583e-10 2.97554704281e-10 9.11985309329e+00 1.19465190221e-01
5.10000000000e-01 1.10633688788e+01 3.27229008097e-06 7.25587159752e-03 3.09837053624e-10 3.08137203211e-10 2.97572661305e-10 9.42431753196e+00 1.25239436616e-01
5.20000000000e-01 1.06999002589e+01 3.64841276680e-06 7.33391115425e-03 3.09837315248e-10 3.08161059922e-10 2.97591429069e-10 9.73062647581e+00 1.31180152043e-01
5.30000000000e-01 1.03523926434e+01 4.05333948963e-06 7.40534564936e-03 3.09837561492e-10 3.08184952420e-10 2.97611030303e-10 1.00380538774e+01 1.37281195872e-01
5.40000000000e-01 1.00191064657e+01 4.48791086566e-06 7.47085459154e-03 3.09837793430e-10 3.08208880376e-10 2.97631489735e-10 1.03458847207e+01 1.43535958770e-01
5.50000000000e-01 9.69869003340e+00 4.95286391931e-06 7.53105281818e-03 3.09838012047e-10 3.08232843423e-10 2.97652834119e-10 1.06534212249e+01 1.49937425833e-01
5.60000000000e-01 9.39011055590e+00 5.44882733242e-06 7.58649405065e-03 3.09838218252e-10 3.08256841161e-10 2.97675092260e-10 1.09599893158e+01 1.56478260615e-01
5.70000000000e-01 9.09258853299e+00 5.97631949493e-06 7.63767507357e-03 3.09838412884e-10 3.08280873143e-10 2.97698295055e-10 1.12649447469e+01 1.63150900227e-01
5.80000000000e-01 8.80553885264e+00 6.53574907234e-06 7.68504022221e-03 3.09838596716e-10 3.08304938881e-10 2.97722475522e-10 1.15676784492e+01 1.69947653590e-01
5.90000000000e-01 8.52852021554e+00 7.12741773999e-06 7.72898594875e-03 3.09838770463e-10 3.08329037833e-10 2.97747668855e-10 1.18676208494e+01 1.76860796854e-01
6.00000000000e-01 8.26119330863e+00 7.75152470030e-06 7.76986530704e-03 3.09838934786e-10 3.08353169407e-10 2.97773912469e-10 1.21642450413e+01 1.83882661722e-01
6.10000000000e-01 8.00328737862e+00 8.40817259267e-06 7.80799224827e-03 3.09839090296e-10 3.08377332947e-10 2.97801246061e-10 1.24570687953e+01 1.91005713899e-01
6.20000000000e-01 7.75457440414e+00 9.09737441995e-06 7.84364565994e-03 3.09839237558e-10 3.08401527735e-10 2.97829711683e-10 1.27456554731e+01 1.98222620164e-01
6.30000000000e-01 7.51484984303e+00 9.81906114577e-06 7.87707311032e-03 3.09839377096e-10 3.08425752981e-10 2.97859353812e-10 1.30296139603e+01 2.05526303478e-01
6.40000000000e-01 7.28391886507e+00 1.05730896563e-05 7.90849428150e-03 3.09839509397e-10 3.08450007816e-10 2.97890219439e-10 1.33085977623e+01 2.12909986316e-01
6.50000000000e-01 7.06158701671e+00 1.13592508259e-05 7.93810408988e-03 3.09839634910e-10 3.08474291287e-10 2.97922358163e-10 1.35823034166e+01 2.20367222878e-01
6.60000000000e-01 6.84765435835e+00 1.21772774739e-05 7.96607550244e-03 3.09839754054e-10 3.08498602346e-10 2.97955822299e-10 1.38504683760e+01 2.27891921196e-01
6.70000000000e-01 6.64191223956e+00 1.30268520431e-05 7.99256206408e-03 3.09839867218e-10 3.08522939843e-10 2.97990666984e-10 1.41128685054e+01 2.35478356309e-01
6.80000000000e-01 6.44414201051e+00 1.39076138767e-05 8.01770015530e-03 3.09839974763e-10 3.08547302513e-10 2.98026950311e-10 1.43693153232e+01 2.43121175780e-01
6.90000000000e-01 6.25411509826e+00 1.48191660052e-05 8.04161100127e-03 3.09840077024e-10 3.08571688969e-10 2.98064733456e-10 1.46196530958e+01 2.50815398819e-01
7.00000000000e-01 6.07159399455e+00 1.57610813883e-05 8.06440245425e-03 3.09840174315e-10 3.08596097685e-10 2.98104080830e-10 1.48637558793e+01 2.58556410175e-01
7.10000000000e-01 5.89633380586e+00 1.67329085839e-05 8.08617057088e-03 3.09840266928e-10 3.08620526988e-10 2.98145060233e-10 1.51015245815e+01 2.66339949942e-01
7.20000000000e-01 5.72808410346e+00 1.77341768384e-05 8.10700100514e-03 3.09840355133e-10 3.08644975037e-10 2.98187743026e-10 1.53328841037e+01 2.74162100205e-01
7.30000000000e-01 5.56659088302e+00 1.87644006077e-05 8.12697023659e-03 3.09840439184e-10 3.08669439811e-10 2.98232204310e-10 1.55577806027e+01 2.82019269427e-01
7.40000000000e-01 5.41159850046e+00 1.98230835329e-05 8.14614665178e-03 3.09840519317e-10 3.08693919087e-10 2.98278523125e-10 1.57761789050e+01 2.89908175267e-01
7.50000000000e-01 5.26285149536e+00 2.09097219006e-05 8.16459149565e-03 3.09840595754e-10 3.08718410424e-10 2.98326782656e-10 1.59880600909e+01 2.97825826462e-01
7.60000000000e-01 5.12009624695e+00 2.20238076277e-05 8.18235970776e-03 3.09840668701e-10 3.08742911138e-10 2.98377070457e-10 1.61934192614e+01 3.05769504256e-01
7.70000000000e-01 4.98308243333e+00 2.31648308077e-05 8.19950065700e-03 3.09840738351e-10 3.08767418276e-10 2.98429478692e-10 1.63922634888e+01 3.13736743785e-01
7.80000000000e-01 4.85156428210e+00 2.43322818629e-05 8.21605878685e-03 3.09840804883e-10 3.08791928593e-10 2.98484104391e-10 1.65846099522e+01 3.21725315719e-01
7.90000000000e-01 4.72530161392e+00 2.55256533425e-05 8.23207418198e-03 3.09840868469e-10 3.08816438518e-10 2.98541049718e-10 1.67704842512e+01 3.29733208414e-01
8.00000000000e-01 4.60406068819e+00 2.67444414068e-05 8.24758306584e-03 3.09840929265e-10 3.08840944127e-10 2.98600422270e-10 1.69499188900e+01 3.37758610741e-01
8.10000000000e-01 4.48761486599e+00 2.79881470349e-05 8.26261823758e-03 3.09840987421e-10 3.08865441100e-10 2.98662335381e-10 1.71229519221e+01 3.45799895718e-01
8.20000000000e-01 4.37574510777e+00 2.92562769921e-05 8.27720945595e-03 3.09841043075e-10 3.08889924687e-10 2.98726908458e-10 1.72896257440e+01 3.53855605025e-01
8.30000000000e-01 4.26824032478e+00 3.05483445891e-05 8.29138377662e-03 3.09841096359e-10 3.08914389664e-10 2.98794267334e-10 1.74499860268e+01 3.61924434456e-01
8.40000000000e-01 4.16489760316e+00 3.18638702619e-05 8.30516584874e-03 3.09841147395e-10 3.08938830285e-10 2.98864544647e-10 1.76040807741e+01 3.70005220315e-01
8.50000000000e-01 4.06552231899e+00 3.32023819993e-05 8.31857817588e-03 3.09841196299e-10 3.08963240233e-10 2.98937880240e-10 1.77519594935e+01 3.78096926772e-01
8.60000000000e-01 3.96992816125e+00 3.45634156417e-05 8.33164134565e-03 3.09841243178e-10 3.08987612564e-10 2.99014421597e-10 1.78936724722e+01 3.86198634139e-01
8.70000000000e-01 3.87793707837e+00 3.59465150717e-05 8.34437423208e-03 3.09841288136e-10 3.09011939652e-10 2.99094324297e-10 1.80292701447e+01 3.94309528065e-01
8.80000000000e-01 3.78937916214e+00 3.73512323152e-05 8.35679417396e-03 3.09841331267e-10 3.09036213120e-10 2.99177752509e-10 1.81588025433e+01 4.02428889581e-01
8.90000000000e-01 3.70409248153e+00 3.87771275678e-05 8.36891713227e-03 3.09841372663e-10 3.09060423780e-10 2.99264879512e-10 1.82823188229e+01 4.10556085982e-01
9.00000000000e-01 3.62192287700e+00 4.02237691619e-05 8.38075782922e-03 3.09841412408e-10 3.09084561556e-10 2.99355888259e-10 1.83998668505e+01 4.18690562468e-01
9.10000000000e-01 3.54272372470e+00 4.16907334850e-05 8.39232987122e-03 3.09841450583e-10 3.09108615417e-10 2.99450971970e-10 1.85114928529e+01 4.26831834527e-01
9.20000000000e-01 3.46635567844e+00 4.31776048594e-05 8.40364585768e-03 3.09841487263e-10 3.09132573297e-10 2.99550334770e-10 1.86172411145e+01 4.34979480981e-01
9.30000000000e-01 3.39268639613e+00 4.46839753925e-05 8.41471747744e-03 3.09841522520e-10 3.09156422022e-10 2.99654192377e-10 1.87171537209e+01 4.43133137669e-01
9.40000000000e-01 3.32159025639e+00 4.62094448042e-05 8.42555559437e-03 3.09841556422e-10 3.09180147230e-10 2.99762772825e-10 1.88112703402e+01 4.51292491703e-01
9.50000000000e-01 3.25294806978e+00 4.77536202382e-05 8.43617032333e-03 3.09841589031e-10 3.09203733299e-10 2.99876317246e-10 1.88996280400e+01 4.59457276260e-01
9.60000000000e-01 3.18664678878e+00 4.93161160605e-05 8.44657109782e-03 3.09841620408e-10 3.09227163278e-10 2.99995080704e-10 1.89822611330e+01 4.67627265870e-01
9.70000000000e-01 3.12257921922e+00 5.08965536517e-05 8.45676673009e-03 3.09841650610e-10 3.09250418823e-10 3.00119333086e-10 1.90592010492e+01 4.75802272141e-01
9.80000000000e-01 3.06064373597e+00 5.24945611939e-05 8.46676546490e-03 3.09841679691e-10 3.09273480149e-10 3.00249360055e-10 1.91304762311e+01 4.83982139903e-01
9.90000000000e-01 3.00074400466e+00 5.41097734565e-05 8.47657502737e-03 3.09841707702e-10 3.09296325989e-10 3.00385464073e-10 1.91961120479e+01 4.92166743725e-01
1.00000000000e+00 2.94278871087e+00 5.57418315829e-05 8.48620266587e-03 3.09841734690e-10 3.09318933586e-10 3.00527965494e-10 1.92561307281e+01 5.00355984769e-01
1.01000000000e+00 2.88669129803e+00 5.73903828781e-05 8.49565519029e-03 3.09841760702e-10 3.09341278696e-10 3.00677203730e-10 1.93105513062e+01 5.08549787955e-01
1.02000000000e+00 2.83236971477e+00 5.90550806010e-05 8.50493900646e-03 3.09841785781e-10 3.09363335629e-10 3.00833538509e-10 1.93593895833e+01 5.16748099407e-01
1.03000000000e+00 2.77974617223e+00 6.07355837598e-05 8.51406014692e-03 3.09841809968e-10 3.09385077330e-10 3.00997351215e-10 1.94026580998e+01 5.24950884153e-01
1.04000000000e+00 2.72874691173e+00 6.24315569132e-05 8.52302429863e-03 3.09841833301e-10 3.09406475495e-10 3.01169046326e-10 1.94403661178e+01 5.33158124052e-01
